data,Hate_speech,length,laughs,bad_words,misspell
"['met', 'namor', 'friend', 'zon', 'sempr']",0,80,0,0,0
"['#', 'زدرصيدك87', 'خلاص', 'لا', 'تجيبون', 'طاري', 'سالفه', 'المسعود', 'ترا', 'يجيني', 'حرقان', 'من', 'القهر', '💔']",0,73,0,0,12
"['dev', 'ser', 'tal', 'guin', 'direit', 'imprens', 'tant', 'fal', '#', 'pi', '#', 'sótemsocialistanesamerd']",0,128,0,0,0
"['bilhet', 'figu', 'far', 'lisbo', 'port', 'évor', 'vend', 'síti', 'costum', '#', 'overdosedetouret']",0,139,0,0,2
"['aind', 'bem', 'q', 'ont', 'fif', 'n', 'atribu', 'prémi', 'fairplay', 'chapeco', 'par', 'premi', 'equip', 'cuj', 'jog', 'atir', 'p', 'chã']",0,140,0,0,3
"['@', 'slawomirnitr', '@', 'pomask', 'pisdzielc', 'sie', 'nie', 'zastanawiaj', 'co', 'sie', 'z', 'nim', 'stani', 'po', 'upadku', 'rzadumysl', 'ze', 'bed', 'przy', 'koryci', 'wieczni']",0,140,0,0,11
"['rt', '@', 'rpsantos1970', 'pret', 'exig', 'nad', 'apel', 'voss', 'bom', 'sens', 'altur', 'mud', '@', 'pnr', '#', 'pnr', '#', 'renovarportug', '#', 'portug…']",0,140,0,0,0
"['rt', '@', 'fatosesquerd', 'nível', 'jorn', 'glob', 'new', 'correspond', 'carolin', 'ciment', 'lev', 'fé', 'document', 'verific', 'sobr', 'trum…']",0,140,0,0,2
"['rt', '@', 'alexborg', 'ment', 'ont', 'contr', 'trump', 'divi', 'águ', 'imprens', 'ofic', 'perd', 'qualqu', 'compromiss', 'verd…']",0,140,0,0,1
"['@', 'elmostr', '@', 'gabrielboric', 'es', 'esa', 'la', 'razón', 'la', '@', 'afielbaum', 'et', 'al', 'largaron', 'su', 'movimient']",0,106,0,0,3
"['@', 'realdonaldtrump', 'começ', 'discurs', 'mand', 'alô', 'pra', '@', 'carolciment', 'moral', 'hein']",0,130,16,0,1
"['gent', 'trump', 'difícil', 'imprens', 'perseg', 'desd', 'iníci', 'ment', 'inclusiv']",0,130,0,0,0
"['rt', '@', 'nflmem', 'lo', 'angel', 'just', 'got', 'it', 'second', 'football', 'te', 'and', 'is', 'already', 'taking', 'ls']",0,110,0,0,0
"['@', 'doctorvonjay', 'mand', 'cal', 'um', '2', '3', 'part', 'sempr', 'princípi', 'daquel', 'adept', 'vão', '1x', 'ano', 'desculp']",0,136,0,0,1
"['sempr', 'vej', 'masterchef', 'austrál', 'fic', 'vontad', 'prov', 'prat', 'nov', 'decid', 'vou', 'oferec', 'bimby', 'namor']",1,135,0,0,2
"['rt', '@', 'amerelsahel', 'لا', 'تثق', 'في', 'البدايات', 'استنى', 'النهايات', 'وشوف', 'الردحات', 'والشرشحات', 'وميتين', 'التربيات', 'الوسخات', '✋']",0,106,0,0,13
"['thil', 'is', 'so', 'awesom', '😂']",0,44,0,0,2
"['rt', '@', 'marklaping', '@', 'nan5zac', 'i', 'really', 'hop', 'u', 'get', 'ur', 'chanc', 'to', 'meet', '@', 'kelanlutz', 'son', 'u', 'mor', 'than', 'deserv', 'it', '😊']",0,107,0,0,3
"['rt', '@', 'odecarvalh', 'expliq', 'mil', 'vez', 'nenhum', 'soluç', 'problem', 'nacion', 'algum', 'deix', 'ser', 'b…']",0,140,0,0,1
"['continu', 'assim', 'qualqu', 'dia', 'sporting', 'conseg', 'emprest', 'jog', 'club', 'prim', 'lig']",0,109,0,0,0
"['fat', 'ocorr', 'nov', 'york', 'redut', 'democrat', 'ond', 'trump', 'perd', 'lav', 'agres', 'trump', 'sã…']",0,140,0,0,2
"['@', 'mibiel', 'porqu', 'cham', 'idiot', 'xing', 'prémi', 'iliterac', 'entreg']",0,80,0,1,1
"['popul', 'in', 'my', 'shop', 'at', 'the', 'moment', 'especialy', 'valentin', 'day', 'and', 'weding', '#', 'crafthour']",0,135,0,0,3
"['31', 'janpopul', 'alvalad', 'eu', '@', 'ruihcruz', '@', 'djubsu', 'ana', 'garc', 'martim', 'convidadosurpr', 'bilhet', 'port', 'em…']",0,139,0,0,4
"['dúv', 'ver', '#', 'agaramus', 'sic', 'desafi', 'final', 'tvi', 'bald', 'ácid', 'retin']",0,106,0,0,1
"['agend', 'próx', 'temp', 'bilhet', 'fnac', 'ticketlin']",0,85,0,0,2
"['@', 'gordinhocrlh', 'assim', 'fech', 'avis']",0,46,0,0,0
"['rt', '@', 'pauloap', 'ter', 'dó', 'trafic', 'estupr', 'mat', 'dentr', 'cade', 'gent', 'honest', 'dó', 'vítim', 'sim']",0,122,0,0,0
"['@', 'kikoishot', 'abraç', '@', 'ruihcruz', 'cont']",0,53,0,0,0
"['guilherm', 'boul', 'pres', 'aprend', 'ach', 'chef', 'lul', 'est', 'acim', 'lei', 'ferr', 'agor', 'sent', 'chor']",0,124,0,0,2
"['acabám', 'adicion', 'dat', 'tour', 'overdos', 'touret', '1', 'fev', 'covilhã', 'bilhet']",0,127,0,0,3
"['@', 'opauloalme', 'bilhet', 'dispon']",0,65,0,0,0
"['@', 'nodoanegr', 'portug', 'segur']",0,39,0,0,0
"['raúl', 'josé', 'vai', 'cag', 'dev', 'ped', 'autor', 'jorg', 'jesu', '#', 'libertemorauljosé']",0,89,0,1,1
"['democrá', 'hein', 'dev', 'mud', 'nom', 'part', 'dictatorcrat']",0,104,0,0,1
"['@', 'wekch', 'oui', 'le', 'sixièm', 'balon', 'dor', 'aus', 'il', 'va', 'fair', 'trè', 'mal']",0,63,0,0,4
"['cens', 'pnr', 'dan', 'eleitor', 'atras', 'cresc', 'lut', 'element', 'justiç']",0,140,0,0,1
"['overdos', 'touret', 'on', 'the', 'road', 'comboi', 'cheg']",0,97,0,0,1
"['@', 'broubeca', 'brag', 'plan', 'priorit', 'consegu', 'fech', 'dat', 'avis']",0,97,0,0,1
"['sint', 'cad', 'vez', 'noj', 'comunic', 'soc', 'esquerdalh', 'mau', 'perd', '@', 'sicnotic', '#', 'youarefakenew']",1,138,0,1,1
"['@', 'pensaport', 'salm', 'ópt']",0,40,0,0,0
"['@', 'pensaport', 'aparec', 'quis', 'restaurant', 'alme', 'sempr', 'abert', 'ti']",0,88,0,0,1
"['zivkovic', 'pequen', 'maravilh']",0,37,0,0,1
"['aquec', 'glob', 'sever']",0,44,0,0,0
"['olh', 'canalh', 'cham', 'culp', 'lei', 'crimin']",0,106,0,0,0
"['doi', 'represent', 'top3', 'convers', 'boa', 'man', 'aquec', 'ant', 'escrev', 'nov', 'set']",0,123,0,0,1
"['@', 'fguedesr', 'calhau', 'olh']",0,37,0,0,0
"['resist', 'vão', 'volt', 'faz', 'concert', 'bataclan', 'sei', 'diz', 'rai', 'cai', '2x', 'síti', 'deixem', 'sonh']",0,137,0,0,3
"['rt', '@', 'benebarbosamvb', 'democrat', 'boicot', 'poss', 'abrah', 'lincoln', 'ide', 'maluc', 'acab', 'escrav']",0,137,0,0,0
"['@', 'fcanci', 'pesopes', 'gangu', 'comunic', 'soc', 'apes', 'cens', 'cob', 'ridiculariz', 'opõ', 'começ', 'trem']",0,136,0,1,2
"['toler', 'don', 'pod', 'carneir', 'submiss', 'contrari', 'ofend', 'tent', 'ridicular', 'hipócrit', 'mau', 'perd']",0,138,0,1,2
"['rt', '@', 'jpintocoelho60', '@', 'fcanci', 'pesopes', 'gangu', 'comunic', 'soc', 'apes', 'cens', 'cob', 'ridiculariz', 'opõ', 'já…']",0,139,0,1,3
"['cens', 'democrá', 'pi', 'tod', 'porqu', 'arbitrár', 'hipócrit', 'cob', 'fing', 'exist']",0,139,0,0,0
"['@', 'warnerbrosfr']",0,13,0,0,0
"['rt', '@', 'vplu', 'peopl', 'streaming', 'toward', 'the', 'nation', 'mal', 'the', '#', 'womensmarch']",1,97,0,0,1
"['rt', '@', 'odedonafr', 'dr', 'brun', 'sobr', 'apur', 'direct', 'sporting', 'champiom']",0,111,0,0,0
"['pesso', 'nojent', 'capaz', 'escrev', 'barbar', 'dest', 'ah', 'jornal', 'verdad', 'desculp', 'asim…']",1,140,0,1,1
"['cheg', 'hor', 'europ']",0,68,0,0,0
"['fodas', 'rafaval', 'pen', 'esperarqu', 'maravilh']",0,52,0,1,3
"['@', 'mism12', 'perfet', 'alor', '👍🏻😂', 'di', 'dov', 'sei']",0,42,0,0,3
"['papague', 'politic', 'toler', 'silenci', 'ofend', 'ridicular', 'argument', 'situ', 'us', 'discrimin']",0,139,0,1,1
"['volt', 'cost', 'pod', 'washington', 'virandos', 'país', 'real', 'jur', 'defend', 'forç', '#', 'trumpresident']",0,139,0,0,1
"['rt', '@', 'tamia707', 'if', 'you', 'cant', 'respect', 'trump', 'your', 'president', 'you', 'can', 'go', 'to']",0,108,0,0,3
"['acabám', 'adicion', 'dat', 'tour', 'overdos', 'touret', '24', 'fev', 'eric', 'bilhet', 'fnac', 'aqui…']",0,135,0,0,5
"['@', 'leafar2016luil', 'infeliz', 'rafael', 'est', 'mei', 'caminh', 'port', 'vil', 'real', 'peg', 'trop', 'escolh']",0,121,0,0,0
"['@', 'fcanci', 'pens', 'trump', 'fal', 'donald', 'algum', 'fetich', 'clar', 'esperanç', 'nov', 'amanhec', 'vari', 'tem']",0,136,0,0,1
"['bom', 'dia', 'pra', 'acord', 'pres', 'jornal', 'vergonh', 'canal', 'canalh']",0,136,0,1,0
"['tem', 'result', 'visit', 'efectu', '#', 'asunçãocr', 'inclu', 'mesquit', 'submiss']",1,140,0,0,0
"['guion', 'snl', 'faz', 'pi', 'acerc', 'filh', 'trump', 'cont', 'pessoal', 'twitt', 'desped', 'obrig', 'ped', 'desculp', 'liberdad']",0,136,0,0,1
"['@', 'pensaport', 'emprest', 'document', 'val', 'ador']",0,62,0,0,0
"['@', 'pickamiol', 'poisé']",0,37,0,0,1
"['правила', 'питания', 'для', 'эндоморфов', 'имено', 'эндоморфам']",0,51,0,0,6
"['agor', 'melhor', 'espec', 'standup', 'vi', '2017', 'boa', 'surpr']",0,100,0,0,1
"['dev', 'indignarm', 'c', 'discurs', 'd', 'don', 'd', 'pad', 'portugu', 'poraquel', 'croissant', 'brioch', 'feit', 'mão', 'q', 'ganh', '€50', 'tão', 'bom']",0,140,0,0,3
"['ont', 'bat', 'record', 'utiliz', 'palavr', 'nab', 'tv', 'portugu', 'acredit']",0,132,0,0,0
"['@', 'ricardo4769', '@', 'ruihcruz', 'apen', 'dem', 'iníci', 'mov']",0,57,0,0,0
"['candidat', 'real', 'diferenci']",0,65,0,0,1
"['rt', '@', 'rpsantos1970', 'grand', 'respeit', 'pod', 'volt', 'sêl', 'renov', 'portug', 'miss', 'obrig', 'junt', 'vamo…']",0,140,0,0,2
"['sopr', 'vent', 'mudanç', 'pnr', 'congratulas', 'discurs', '@', 'realdonaldtrump']",0,103,0,0,2
"['@', 'panel', 'apreci', 'bom', 'hum', 'calm', 'abus', 'boa', 'vontad']",0,73,0,0,0
"['graç', 'imigr', 'desgr', 'ser', 'invad', 'culp', 'princip', 'govern']",0,127,0,0,0
"['dimitrov', 'faz', 'exib', 'vid', 'contr', 'nadal', 'meiaf', 'open', 'austrál', 'maravilh']",0,100,0,0,3
"['cp', 'recrut', 'revi', 'requisit', 'sab', 'fal', 'espanhol', 'talv', 'import', 'contrat', 'pesso', 'saib', 'crioul']",0,140,0,0,1
"['grand', 'liç', 'lealdad', 'amizad', 'incondic', 'arrepi']",0,89,0,0,0
"['feder', 'enorm', 'rei', 'volt']",0,32,0,0,1
"['barcel', 'empat', 'camp', 'bétil', 'dest', 'gol', 'ter', 'sid', 'valid', 'óbvi', '#', 'aculpaédobenf']",0,132,0,0,1
"['cresc', 'assim', 'continu', 'cad', 'vez', '#', 'pnr']",0,83,0,0,0
"['tant', 'pessso', 'têm', 'trê', 's', 'clar', 'toler', 'democrat', '#', 'forçatrump']",0,118,0,0,0
"['@', 'lusanotic', 'boa', 'soluç', 'arranj', 'ovn']",0,73,0,0,0
"['menin', 'cheguems', 'frent', 'merec', 'têm', 'hipótes', 'dia', '31', 'popul', 'alvalad', 'part', 'dia', '4…']",0,140,0,0,3
"['concurs', 'mis', 'falt', 'respeit', 'mulh', 'própr', 'mulh', 'mulherobject', 'futil', 'pur']",0,125,0,0,1
"['nunc', 'vi', 'imprens', 'nacion', 'tão', 'descar', 'parc', 'vir', 'torc', 'arquibanc', 'paté', 'aliás', 'democrática…']",0,140,0,0,1
"['afinal', 'constitu', 'repúbl', 'feit', 'senh', 'serv', 'quê', 'ser']",0,120,0,0,0
"['aguarel', 'muit', 'ano', '#', 'salaz']",0,58,0,0,0
"['arranqu', 'doverdos', 'toureteon', 'the', 'road', 'prest', 'acontec', '4', 'fevfigu', 'foz', 'inf', 'reservas', '@', 'ca…']",0,140,0,0,3
"['diz', 'dev', 'com', 'ovo', 'porqu', 'com', 'abort', 'nojent', 'nunc', 'viu', 'ambi', 'discotec', '6', 'manhã']",0,138,0,1,0
"['tant', 'dinh', 'mal', 'gast', 'pilh', 'dirig', 'pod', 'dev', 'ser', 'aplic', 'investig', 'científ', 'som…']",0,140,0,0,1
"['batágu', 'vai', 'ter', 'faz', 'joan']",0,72,0,0,1
"['vá', 'lá', 'hoj', 'program', 'pró', 'contr', '@', 'rtpt', 'sobr', 'eutanás', 'habit', 'prósepró', 'interess']",0,133,0,0,1
"['sempr', 'som', 'aspect', 'posi', 'pens', 'linh', 'tod', 'part', 'nacion', 'europ', 'excelente…']",0,130,0,0,1
"['#', 'blocoesquerd', 'pontadelanç', 'cult', 'mort', 'qu', 'agor', 'legal', 'eutanás', 'mim', 'def', 'vid', 'dign', '@', 'esquerdanet']",0,140,0,0,1
"['vai', 'continu', 'encolh', 'ombr', 'vai', 'mud', 'apoi', '#', 'pnr']",0,88,0,0,0
"['grand', 'imprens', 'popul', 'esquerd', 'mostr', 'quã', 'democrá', 'sequ', 'deix', 'trump', 'começ', 'trabalh']",0,119,0,0,0
"['dev', 'boi', 'cond']",0,52,0,0,0
"['cad', 'doi', 'dia', 'absurd', 'total', 'imprens', 'pref', 'faz', 'car', 'noj', 'trump']",0,121,0,1,0
"['trist', 'verdad', 'tant', 'teim', 'quer', 'ver', 'quant', 'tard', 'revert', 'situ', 'difícil', 'será…']",0,137,0,0,1
"['#', 'blocoesquerd', 'promot', 'eutanás', 'tem', 'program', 'eleitor', 'honest', '@', 'esquerdanet']",0,140,0,0,0
"['assim', 'sim', 'voz', 'lúc', 'cúpul', 'igrej', 'catól', '#', 'lahor']",0,88,0,0,0
"['rt', '@', 'jpintocoelho60', 'trist', 'verdad', 'tant', 'teim', 'quer', 'ver', 'quant', 'tard', 'revert', 'situ', 'difícil', '#', 'islão…']",0,140,0,0,0
"['rt', '@', 'vitormramalh', 'cens', 'portug']",0,64,0,0,0
"['rt', '@', 'rpsantos1970', 'exist', 'portugues', 'pass', 'fom', 'hom', 'mulh', 'crianç', 'culp', 'govern', 'daquel', 'qu…']",0,140,0,0,1
"['bullying', 'hipócrit', 'comunic', 'soc', 'divers', 'sec', 'sociedad', 'forç', '@', 'realdonaldtrump']",0,135,0,0,0
"['olh', 'nível', 'notici', 'mai', 'jorn', 'país', 'séri', 'gent', 'pag', 'pra', 'ler']",0,134,0,0,0
"['miguel', 'relv', 'conselh', 'leonin', 'sporting', 'títul', 'garant', 'necess', 'ped', 'uma', 'equival', 'lusóf']",0,138,0,0,3
"['rt', '@', 'cremeac', 'tempestad', 'cheg', 'contin']",0,76,0,0,0
"['pod', 'ser', 'sér', 'cham', 'qu', 'diz', 'ônibu', 'resolv', 'peg', 'fog', 'assim', 'nad']",0,119,0,0,0
"['@', 'drduarte1974', '@', 'alexandregarc', 'aparent', 'vc', 'mta', 'necess', 'vir', 'fal', 'pra', 'mim', 'agor', 'ja', 'fal', 'pod', 'par', 'né']",0,124,0,0,1
"['ont', 'represent', '#', 'flecfac', 'dirig', '#', 'carlospun', 'mei', '#', 'pnr', 'apo', 'caus', 'cabind', 'traído…']",0,140,0,0,2
"['rt', '@', 'alinoneguypt', 'mach', 'tug']",0,54,0,0,1
"['interes', 'promiscu', 'masculin', '‘', 'natural', '’', 'mit', 'segund', 'biólog']",0,113,0,0,1
"['@', 'joaoestel', 'permit', 'evolu']",0,51,0,0,0
"['car', 'mud', 'turm', 'manhã', 'tard', 'vir', 'rela', 'lav', 'jat', 'tret', 'imagin']",0,120,0,0,0
"['clar', 'afinal', 'acim', 'bem', 'mal', 'pq', 'nunc', 'vistori', 'obr', 'apart', 'terc']",0,135,0,0,1
"['amanhã', 'sextaf', 'dir', 'cgtp', 'excel', 'dia', 'convoc', 'grev', 'funç', 'públic']",0,100,0,0,2
"['rt', '@', 'evaristocost', 'q', 'salv', 'empreg', 'poss']",0,82,0,0,0
"['rt', '@', 'lizcgodwin', 'sen', 'john', 'mcain', 'called', 'austral', 'ambas', 'today', 'to', 'expres', 'unwavering', 'support', 'folow', 'report', 'of', 'tens', 'trump', 'cal…']",0,139,0,0,8
"['rt', '@', 'jumagalhaesbh', 'mai', 'prov', 'honest', '@', 'jairbolsonar', 'quant', 'vot', 'câm']",0,113,0,0,0
"['rt', '@', 'pmraimund', 'diz', 'drog']",0,58,0,0,0
"['rt', '@', 'mayalambert', 'olh', '3', 'car', '♥️']",0,66,0,0,1
"['rt', '@', 'theweknd', '@', 'hm', '⚡️']",0,46,0,0,1
"['rt', '@', 'isingloured', 'it', '3', 'dess', 'list', 'ser', 'impress', 'distribu', 'sofr', 'síndrom', 'amig', 'hom', 'mulheres…']",0,139,0,0,1
"['hor', 'vot', 'bolsonar', 'tod', 'polít', 'corrupt', 'hor', 'vot', 'impeachment', 'parabéns…']",0,140,0,1,2
"['exist', 'vár', 'form', 'notici', 'assunt', 'infeliz', 'algum', 'escolh', 'pi', 'feliz', 'outr']",0,137,0,0,0
"['rac', 'mulh', 'negr', 'latin', 'sofr', 'áre', 'ciênc', 'tecnolog', 'engenh', 'matemá', 'gt']",1,133,0,0,1
"['rt', '@', 'rpsantos1970', 'vam', 'lá', 'ver', 'entend', 'pan', 'contr', 'eutanás', 'animal', 'favor', 'legal', 'eutanás', 'seres…']",0,139,0,0,1
"['rt', '@', 'amrahmed1717', 'بنكتب', 'تويتات', 'بعد', 'ماتشات', 'الزمالك', 'ومبتنزلش', 'بنكتب', 'تويتات', 'بعد', 'ماتشات', 'المنتخب', 'وبرده', 'مبتنزلش', '😂', '#', 'باصيلعفيفي']",0,140,0,0,14
"['@', 'fernandalimabah', 'program', 'sex', 'ach', 'absurd', 'famíl', 'fal', 'abert', 'sex', 'cas', 'pq', 'cert']",0,138,0,0,0
"['sent', 'mes', 'pergunt', 'p', 'filh', 'masturb', 'hj', 'pergunt', 'trans', 'pap', 'hipócrit', '@', 'fernandalimabah']",0,140,0,1,1
"['sócrat', 'process', 'est', 'portugu', 'prov', 'inoc', 'irá', 'do', 'indemn', 'receb', 'abat', 'dív', 'públic']",0,135,0,0,0
"['rt', '@', 'vitormramalh', 'coimbr', 'instru', 'art', 'marc', 'candidat', 'pnr', 'câm']",0,107,0,0,2
"['fal', 'popul', 'sei', 'turm', 'fak', 'new', 'retard']",0,88,0,1,2
"['agradeces', 'empurr', 'vind', 'outr', 'lad', 'atlân', 'dar', 'golp', 'misericórd', 'famiger', '@', 'uniaoeurope', '#', 'brexit', '#', 'pexit']",0,137,0,0,1
"['#', 'pnr', 'contr', 'desinter', 'demal', 'part', 'órg', 'soberan', 'apo', 'just', 'lut']",0,140,0,0,0
"['além', 'tremend', 'babos', 'quant', 'err', 'portugu', 'absurd', 'qq', 'mei', 'comunic', 'séri', 'vergon…']",0,140,0,0,1
"['arranqu', 'tour', 'overdos', 'touret', 'otr', 'asim', 'caravan', 'seg', 'dia', '10', 'vil', 'real', 'dia', '11', 'a…']",0,140,0,0,3
"['@', 'showdav', 'dos', 'diár', 'antitrump', 'vão', 'faz', 'report', 'sobr', '16', 'país', 'proíb', 'entr', 'israel']",0,137,0,0,1
"['rt', '@', 'renatamot', 'ônibu', 'lot', 'faz', 'curv']",0,76,0,0,0
"['sor', 'györgy', 'kosuth', 'tér', 'sarkáról', 'bujtogat', 'fizetésemeléstől', 'mámor', 'tüntetőket']",0,108,0,0,8
"['agend', 'actu', 'próx']",0,66,0,0,0
"['50mil', 'empr', 'encerr', '10mil', 'insolv', 'nest', 'govern', 'jan17', 'baix', 'desempr…']",0,140,0,0,4
"['alexandr', 'mora', 'dev', 'sequ', 'ter', 'sid', 'ministr', 'agor', 'ocup', 'cade', 'stf', 'gsu']",0,93,0,0,3
"['rt', '@', 'voluptam', 'ganh']",0,48,0,0,0
"['filh', 'pai', 'incógnit', 'quas', 'duplic', '2016', 'and', 'desconfi', 'aqu', 'cad', 'vez', 'filh', 'put', '@']",1,122,0,0,0
"['rt', '@', 'pensadorzarolh', 'esper', 'autobiograf', 'cavac', 'venh', 'impress', 'papel', 'folh', 'dupl', 'alguém', 'mo', 'oferec', 'aranjolh', 'util…']",0,140,0,0,2
"['pra', 'hor', 'fic', 'marc', 'panel']",0,63,0,0,1
"['@', 'dnoticiaspt', '1', 'toler', 'arrog', 'julg', 'superi', 'labreg', 'sistem', 'dia', 'cont', 'ag…']",0,140,0,0,1
"['@', 'mrsquint', 'ant', 'toalh', 'bich', 'mort']",0,47,0,0,0
"['الهم', 'إني', 'أسألك', 'خير', 'هذه', 'اليومفتحه', 'ونصره', 'ونوره', 'وبركته', 'وهداه', 'وأعوذ', 'بك', 'من', 'شر', 'ما', 'فيه', 'وشر', 'ما', 'بعده']",0,117,0,0,19
"['rt', '@', 'jbendery', 'why', 'is', 'it', 'so', 'empty', 'you', 'might', 'ask', 'htpstcoz5vnmig1kz']",0,96,0,0,2
"['pra', 'turm', 'usp', 'mora', 'partidar', 'pod', 'ir', 'pro', 'stf', 'fachin', 'ter', 'defend', 'invas', 'terr', 'mst', 'crim', 'ok']",0,140,0,0,6
"['rt', '@', 'teslawf', 'ti', 'on', 'trouvé', 'un', 'politicien', 'droit', 'avec', 'lhoneur']",0,97,0,0,5
"['quant', '#', 'planonacionaldereform', 'eficaz', '#', 'pnr', 'rest', 'convers']",0,88,0,0,0
"['rt', '@', 'onorioferar', 'altr', 'tegol', 'in', 'cas', '#', 'int', 'dop', 'la', 'stangat', '#', 'icard', '#', 'perisic', 'ariv', 'la', 'frat', 'di', 'un', 'dit', 'per', '#', 'brozovic', 'che', 'starà…']",0,140,0,0,6
"['@', 'paulobotelho87', 'ué', 'vai', 'lá', 'mach', 'lev', 'mulh', 'pra', 'gal', 'ver']",1,66,0,0,1
"['@', 'paulobotelho87', 'lut', 'contr', 'instint', 'retard', 'vaz', 'vai', '15', 'min', 'fam']",0,120,13,1,1
"['#', 'espiritosantoca', 'ilumin', 'públic', 'rua', 'resolv', 'situ', 'solt', 'pomb', 'tb', 'agor', '@', 'psolofic']",0,138,0,0,1
"['@', 'onomedovent', '@', 'psolofic', 'clar', 'mai', 'cris', 'econôm', 'últ', '20', 'ano', 'resolv', '6', 'mes', 'vc', 'perfil', 'coméd', 'né']",0,130,0,0,0
"['pi', 'merec', 'twitt', 'outr', 'red', 'soc']",0,56,0,0,0
"['começ', 'feliz', 'desenhars', 'bloc', 'alianç', 'contr', 'podr', 'globazidoramundi', '@', 'netanyahu…']",0,133,0,0,2
"['rememb', 'that', 'day', 'the', 'cub', 'wer', 'at', 'the', 'whit', 'hous', 'wow', 'how', 'thing', 'hav', 'changed']",0,81,0,0,2
"['rt', '@', 'sandhyatimes4u', '@', 'amadmiparty', 'सरकार', 'के', '2', 'साल', 'पूरे', 'होने', 'पर', 'बड़ा', '#', 'सर्वे', '61', '#', 'दिल्ली', 'वाले', 'सरकार', 'के', 'काम', 'से', 'खुश', 'नहीं', '34', 'खुश', 'केंद्र', 'से…']",0,139,0,0,17
"['rt', '@', 'vitormramalh', 'seman', 'mod', 'mil', 'imag', 'val', 'mil', 'palavr', 'mostr', 'ue', 'dia', 'hoj']",0,140,0,0,0
"['dúv', 'europ', 'reag', 'cad', 'vez', 'azar', 'máf', 'govern', 'trai', 'comunicação…']",0,140,0,0,1
"['@', 'catarinamart', 'ent', 'hoj', 'debat', 'pnr', 'final', 'acab', 'boicot', 'cens', 'part', '@', 'govpt', '@', 'antoniocostapm']",0,133,0,0,1
"['rt', '@', 'karlam17', 'quien', 'le', 'dio', 'unfolow']",0,64,0,0,1
"['“', 'com', 'pnr', 'coimbr', 'encanto', '“', '@', 'vitormramalh', '#', 'coimbr', '#', 'pnr', '#', 'autarquicas2017']",0,135,0,0,4
"['rt', '@', 'naokahl', 'repit', 'comig', 'esper', 'vá', 'mud', 'mim', 'esper', 'vá', 'mud', 'mim', 'esper', 'vá', 'mud', 'mim', 'n…']",0,140,0,0,1
"['@', 'pablovilac', 'po', 'aí', 'otim', 'hein']",0,43,0,0,0
"['cheg', 'hor', 'noit', 'fic', 'cont', 'dorm', 'agor', 'vou', 'ter', 'quant', 'hor', 'son']",0,97,0,0,0
"['@', 'netman', 'olh', 'sofr', 'metamorfos', 'regress', 'sempr', 'dia', 'seguint', 'escond', 'ovo']",0,102,0,0,1
"['fimdesem', 'caravan', 'vai', 'and', 'aqu', '10', 'fev', 'vil', 'real', '11', 'fev', 'covilhâ', 'bilhet', 'fnacbilheteira…']",0,140,0,0,5
"['11', 'dic', 'faz', '–', 'mant', 'amizad', 'outr', 'mulh']",0,85,0,0,1
"['cd', 'avis', 'centen', 'consequ', 'penal', 'ment', 'parl', 'algum', 'exdeput', 'cd', 'pres']",0,117,0,0,2
"['@', 'iagoforapt', 'ach', 'engraç', 'ngm', 'fal', 'direit', 'aqu', 'entreg']",0,87,0,0,1
"['rt', '@', 'erickdau', 'políci', 'milit', 'acab', 'dar', 'tir', 'pistol', 'pra', 'cim', 'ninguém', 'cont', 'vi']",0,118,0,0,0
"['centen', 'acatas', 'conselh', 'cd', 'demitindos', 'irrevoga', 'pod', 'regress', 'viceprimeiroministr']",0,126,0,0,4
"['constro', 'obstácul', 'dentr', 'cas', 'vez', 'expuls', 'serp', 'islâm', 'vergonh']",0,121,0,0,0
"['bom', 'dia', 'companh', 'dir', 'bárb', 'guim', 'hoj', 'fri', 'carilh']",0,86,0,0,2
"['caramb', 'ach', 'qdo', 'process', 'cheg', 'stf', 'abandon', '#', 'folhafakenew']",0,129,0,0,1
"['pnr', 'ele', 'autárqu', 'lanç', 'marg', 'sul', '#', 'pnr', '#', 'bar', '@', 'rpsantos1970', 'htpstco2iubgh5qz']",0,134,0,0,3
"['rt', '@', 'carneiroandr', 'nunc', 'agor', 'produç', 'literár', 'nacion', 'tão', 'activ', 'yronic']",0,125,0,0,1
"['rt', '@', 'oficialdsb', 'congrat', 'to', 'dsb', 'memb', 'georg', 'blah', 'on', 'your', 'spec', 'night', 'at', 'the', 'palac']",0,117,0,0,4
"['sei', 'poss', 'dar', 'diss', 'caril', 'noit', 'fri']",0,58,0,0,1
"['rt', '@', 'mbkcentr', 'отголоски', 'работы', 'в', '2016', 'году', 'очередные', 'дыры', 'в', 'банках', '😏', '#', 'цб', '#', 'надзор', '#', 'банк']",0,117,0,0,9
"['@', 'expres', '@', 'henriqumont', 'explic', 'dir', 'ant', 'deturp', 'diabol', 'qualqu', 'insurj', 'contr', 'sistem', 'odi']",0,137,0,0,2
"['europ', 'doent', 'submiss', 'espectácul', 'maric', 'nojent', 'clar', 'torn', 'pres', 'fácil', 'islã…']",1,140,0,1,1
"['@', 'mxsh3r', 'اح']",0,11,0,0,1
"['cleveland', 'ind', 'vs', 'chicag', 'whit', 'sox', 'ticket', '041317', 'cleveland']",0,91,0,0,1
"['rt', '@', 'rpsantos1970', 'ont', 'reun', 'conselh', 'nacion', 'pnr', '#', 'portug', '#', 'polí', '#', 'rogériosant', '#', 'renovarportug']",0,140,0,0,1
